시도,범주,군구,관광지,위도,경도
경기도,유명사적/유적지,연천군,연천전곡리유적,38.0136924394662,127.062271695973
경기도,유명사적/유적지,고양시,행주산성,37.5954165009391,126.82896859673
경기도,유명사적/유적지,남양주시,정약용유적지,37.5165834970016,127.299559060056
경기도,유명사적/유적지,구리시,동구릉,37.6208762231096,127.131711248127
경기도,유명사적/유적지,안성시,미리내성지,37.1425348449242,127.258839850085
경기도,유명사적/유적지,연천군,연천호로고루,37.9861802707,126.858558375957
경기도,유명사적/유적지,남양주시,홍유릉,37.6316003563555,127.208593366336
경기도,유명사적/유적지,파주시,파주삼릉,37.7447763205705,126.833117091902
경기도,유명사적/유적지,고양시,서삼릉,37.6646589671402,126.868618256683
경기도,유명사적/유적지,파주시,황희선생유적지,37.8674360293954,126.753166256893
경기도,유명사적/유적지,연천군,숭의전지,38.0237411163997,126.973095480922
경기도,유명사적/유적지,고양시,서오릉,37.6305821293769,126.898147838572
경기도,유명사적/유적지,파주시,파주장릉,37.7730893731415,126.708404982016
경기도,유명사적/유적지,화성시,융건릉,37.2112682972112,126.990474923384
경기도,유명사적/유적지,연천군,연천당포성,38.0232138563312,126.986084367272
경기도,유명사적/유적지,시흥시,생금집,37.3505580068022,126.758391651246
경기도,유명사적/유적지,시흥시,영모재,37.3696182827238,126.817380537837
경기도,유명사적/유적지,고양시,행주산성,37.5954165009391,126.82896859673
경기도,유명사적/유적지,화성시,융건릉,37.2112682972112,126.990474923384
경기도,유명사적/유적지,안성시,안성성당,37.0111687109284,127.273866220741
경기도,유명사적/유적지,구리시,동구릉,37.6208762231096,127.131711248127
경기도,유명사적/유적지,남양주시,홍유릉,37.6316003563555,127.208593366336
경기도,유명사적/유적지,파주시,황희선생유적지,37.8674360293954,126.753166256893
경기도,유명사적/유적지,고양시,서오릉,37.6305821293769,126.898147838572
경기도,유명사적/유적지,고양시,서삼릉,37.6646589671402,126.868618256683
경기도,유명사적/유적지,파주시,파주삼릉,37.7447763205705,126.833117091902
경기도,유명사적/유적지,파주시,파주장릉,37.7730893731415,126.708404982016
경기도,유명사적/유적지,연천군,연천전곡리유적,38.0136924394662,127.062271695973
경기도,유명사적/유적지,고양시,행주산성,37.5954165009391,126.82896859673
경기도,유명사적/유적지,남양주시,정약용유적지,37.5165834970016,127.299559060056
경기도,유명사적/유적지,구리시,동구릉,37.6208762231096,127.131711248127
경기도,유명사적/유적지,안성시,미리내성지,37.1425348449242,127.258839850085
경기도,유명사적/유적지,연천군,연천호로고루,37.9861802707,126.858558375957
경기도,유명사적/유적지,남양주시,홍유릉,37.6316003563555,127.208593366336
경기도,유명사적/유적지,파주시,파주삼릉,37.7447763205705,126.833117091902
경기도,유명사적/유적지,고양시,서삼릉,37.6646589671402,126.868618256683
경기도,유명사적/유적지,파주시,황희선생유적지,37.8674360293954,126.753166256893
경기도,유명사적/유적지,연천군,숭의전지,38.0237411163997,126.973095480922
경기도,유명사적/유적지,파주시,파주장릉,37.7730893731415,126.708404982016
경기도,유명사적/유적지,연천군,연천당포성,38.0232138563312,126.986084367272
경기도,유명사적/유적지,시흥시,생금집,37.3505580068022,126.758391651246
경기도,유명사적/유적지,시흥시,영모재,37.3696182827238,126.817380537837
경기도,유명사적/유적지,안성시,안성성당,37.0111687109284,127.273866220741
경기도,유명사찰,여주시,신륵사,37.29753878,127.66153134
경기도,유명사찰,안성시,칠장사,37.0264557951204,127.397907882249
경기도,유명사찰,안성시,청룡사,36.91369349,127.28874948
경기도,유명사찰,가평군,백련사템플스테이,37.78419731,127.34985212
경기도,유명사찰,가평군,대원사템플스테이,37.8945369382546,127.502237557562
경기도,유명사찰,가평군,백련사템플스테이,37.78419731,127.34985212
경기도,유명사찰,가평군,대원사템플스테이,37.8945369382546,127.502237557562
경기도,유명사찰,여주시,신륵사,37.29753878,127.66153134
경기도,유명사찰,여주시,신륵사,37.29753878,127.66153134
경기도,유명사찰,안성시,칠장사,37.0264557951204,127.397907882249
경기도,유명사찰,안성시,청룡사,36.91369349,127.28874948
경기도,유명사찰,가평군,백련사템플스테이,37.78419731,127.34985212
경기도,유명사찰,가평군,대원사템플스테이,37.8945369382546,127.502237557562
경상남도,고택/생가/민속마을,김해시,노무현대통령생가,35.3143962760376,128.771322643201
경상남도,고택/생가/민속마을,김해시,노무현대통령생가,35.3143962760376,128.771322643201
경상남도,고택/생가/민속마을,거제시,도장포어촌체험마을,34.7429451,128.662673
경상남도,고택/생가/민속마을,거제시,김영삼전대통령생가기록전시관,34.93142391,128.71535188
경상남도,고택/생가/민속마을,거제시,다대어촌체험마을,34.7381465,128.62987553
